"row","country","prob","escs","math","reading","science"
"294","Slovakia",0.8,0.7,513.795,499.5935,504.6065
"295","Slovakia",1,2.69,562.2449,547.34935,552.7229
"296","Slovenia",0.2,-0.82,436.56335,424.2847,453.8325
"297","Slovenia",0.4,-0.35,461.41145,445.81585,479.3827
"298","Slovenia",0.6,0.2,480.02805,460.98145,494.81535
"299","Slovenia",0.8,0.816000000000004,499.42355,481.6926,516.8221
"300","Slovenia",1,2.42,537.7084,519.562,551.1376
"301","Sweden",0.2,-0.46,438.9391,448.1537,448.564
"302","Sweden",0.4,0.11,463.3588,477.941,468.42595
"303","Sweden",0.6,0.63,488.6353,501.1974,497.6128
"304","Sweden",0.8,1.03,500.20255,514.4696,508.4763
"305","Sweden",1,2.92,520.61065,531.6713,534.8657
"306","China",0.2,-1.12,483.8059,478.0598,477.1913
"307","China",0.4,-0.63,542.26515,510.3797,510.80755
"308","China",0.6,-0.16,565.6722,533.3832,529.1309
"309","China",0.8,0.38,589.9751,545.2978,540.6005
"310","China",1,2.4,638.8924,579.7709,576.7811
"311","Thailand",0.2,-2.28,399.79745,418.36255,421.8948
"312","Thailand",0.4,-1.63,405.9121,430.1229,428.4222
"313","Thailand",0.6,-0.87,416.77835,441.12405,439.8918
"314","Thailand",0.8,0.23,441.8212,463.1662,463.7169
"315","Thailand",1,2.45,523.3759,522.7394,527.8254
"316","Tunisia",0.2,-2.43,358.3969,374.7595,369.9552
"317","Tunisia",0.4,-1.51,363.1485,394.8952,379.6531
"318","Tunisia",0.6,-0.86,379.62295,409.5041,400.6341
"319","Tunisia",0.8,-0.08,392.9039,419.2408,411.7307
"320","Tunisia",1,2.5,438.0044,455.4865,437.0944
"321","Turkey",0.2,-2.43,400.61535,440.62995,430.70685
"322","Turkey",0.4,-1.9,421.5688,456.8117,447.2585
"323","Turkey",0.6,-1.3,436.2128,466.9544,456.257
"324","Turkey",0.8,-0.45,447.07895,481.0285,461.99175
"325","Turkey",1,1.94,513.9508,538.3275,516.7288
"326","Uruguay",0.2,-1.89,365.0179,377.3807,373.3122
"327","Uruguay",0.4,-1.33,384.4135,391.0428,394.1999
"328","Uruguay",0.6,-0.7,403.3416,409.0539,412.8497
"329","Uruguay",0.8,0.2,425.9308,434.015,439.7053
"330","Uruguay",1,2.6,484.1175,483.8754,488.0082
"331","USA",0.2,-0.68,434.1097,458.2415,449.8695
"332","USA",0.4,0,453.5052,477.1391,478.1238
"333","USA",0.6,0.55,473.0176,495.263,493.69635
"334","USA",0.8,1.06,505.26565,524.52665,521.9508
"335","USA",1,3.12,535.2937,555.6239,553.9351
"336","Vietnam",0.2,-2.75,468.3829,480.13645,501.9489
"337","Vietnam",0.4,-2.24,491.3616,501.9994,516.3558
"338","Vietnam",0.6,-1.74,507.4856,510.0188,527.5457
"339","Vietnam",0.8,-1.02,522.3633,523.772,536.8706
"340","Vietnam",1,1.55,556.5197,541.2307,564.4722
